t,x,v
0.000000000000000000e+00,-9.770136165266556816e+01,0.000000000000000000e+00
4.487989505128275880e-01,-9.810717343990837946e+01,-8.881626632161451207e-01
8.975979010256551760e-01,-9.852328214065205714e+01,-9.915660352210423634e-01
1.346396851538482764e+00,-9.901692266505021678e+01,-1.225047177079114036e+00
1.795195802051310352e+00,-9.962988317813605477e+01,-1.502496768686535811e+00
2.243994752564137940e+00,-1.003490115343717406e+02,-1.670062363604301048e+00
2.692793703076965528e+00,-1.010934613912989022e+02,-1.607383168707166465e+00
3.141592653589793116e+00,-1.017640864032728842e+02,-1.363440546182699276e+00
3.590391604102620704e+00,-1.023138634041612249e+02,-1.094553802407081555e+00
4.039190554615448292e+00,-1.027604707051704054e+02,-9.160470388758606974e-01
4.487989505128275880e+00,-1.031563247674961019e+02,-8.717488872717218396e-01
4.936788455641103468e+00,-1.035649460370648569e+02,-9.746204775222016004e-01
5.385587406153931056e+00,-1.040550816292466862e+02,-1.237483479375233619e+00
5.834386356666758644e+00,-1.047004644723539144e+02,-1.663025903589171683e+00
6.283185307179586232e+00,-1.055594300095208951e+02,-2.157879235960886266e+00
6.731984257692413820e+00,-1.066029171463331835e+02,-2.420940774554734887e+00
7.180783208205241408e+00,-1.076531806535177083e+02,-2.173800528802912968e+00
7.629582158718068996e+00,-1.085011389919619234e+02,-1.577045148624248050e+00
8.078381109230896584e+00,-1.090645815286650588e+02,-9.436547606501693997e-01
8.527180059743724172e+00,-1.093603022506295304e+02,-3.870728210752057974e-01
8.975979010256551760e+00,-1.094201118274607012e+02,1.161950922010662607e-01
9.424777960769379348e+00,-1.092555162794544543e+02,6.224341910355493113e-01
9.873576911282206936e+00,-1.088539196272765679e+02,1.176826380466105659e+00
1.032237586179503452e+01,-1.081945613153453678e+02,1.756175854626218058e+00
1.077117481230786211e+01,-1.073014203856692461e+02,2.170933799525831986e+00
1.121997376282068970e+01,-1.063138985520605644e+02,2.143545989673906416e+00
1.166877271333351729e+01,-1.054431881981121819e+02,1.687165225057689621e+00
1.211757166384634488e+01,-1.048208849430474743e+02,1.081943704042074295e+00
1.256637061435917246e+01,-1.044676932333853898e+02,4.999902578924655394e-01
1.301516956487200005e+01,-1.043668168536543419e+02,-4.838545955925419029e-02
1.346396851538482764e+01,-1.045135126898320124e+02,-6.125270399620824646e-01
1.391276746589765523e+01,-1.049256045394853203e+02,-1.234202530695324818e+00
1.436156641641048282e+01,-1.056244759998292437e+02,-1.869758288536039093e+00
1.481036536692331040e+01,-1.065719838033771083e+02,-2.288519804451232709e+00
1.525916431743613799e+01,-1.076042488198837930e+02,-2.226335067029922676e+00
1.570796326794896558e+01,-1.085136699041509303e+02,-1.793248393829498522e+00
1.615676221846179317e+01,-1.092079583565405727e+02,-1.312794853961216646e+00
1.660556116897462076e+01,-1.097096136079172908e+02,-9.448785981681767643e-01
1.705436011948744834e+01,-1.100747867187794498e+02,-7.011805420933849842e-01
1.750315907000027593e+01,-1.103539349902538333e+02,-5.578289581716905365e-01
1.795195802051310352e+01,-1.105883004563541618e+02,-5.006537768473079408e-01
1.840075697102593111e+01,-1.108164089903456357e+02,-5.313067941344662426e-01
1.884955592153875870e+01,-1.110800105971513574e+02,-6.608418442848925656e-01
1.929835487205158628e+01,-1.114254008286017239e+02,-8.950871048063879787e-01
1.974715382256441387e+01,-1.118953435944675334e+02,-1.206456085293730496e+00
2.019595277307724146e+01,-1.125058306942520545e+02,-1.498946064749565377e+00
2.064475172359006905e+01,-1.132157764866392426e+02,-1.626992730586447333e+00
2.109355067410289664e+01,-1.139308114360445074e+02,-1.524961582822383477e+00
2.154234962461572422e+01,-1.145644445874627451e+02,-1.289975178316249416e+00
2.199114857512855181e+01,-1.150916738088971130e+02,-1.072361094213229560e+00
2.243994752564137940e+01,-1.155435527910314732e+02,-9.634557692450846922e-01
2.288874647615420699e+01,-1.159780045289492989e+02,-9.980416486898479045e-01
2.333754542666703458e+01,-1.164634230310254281e+02,-1.193252295001642205e+00
2.378634437717986216e+01,-1.170747278474373445e+02,-1.558201507442762201e+00
2.423514332769268975e+01,-1.178797881288150222e+02,-2.034647854129073341e+00
2.468394227820551734e+01,-1.188814680050621462e+02,-2.374780919000210044e+00
2.513274122871834493e+01,-1.199392325687717147e+02,-2.248553805024845254e+00
2.558154017923117252e+01,-1.208343508918461140e+02,-1.695897970177995706e+00
2.603033912974400010e+01,-1.214460527087711199e+02,-1.032415624468250526e+00
2.647913808025682769e+01,-1.217699201857323601e+02,-4.225273351832075086e-01
2.692793703076965528e+01,-1.218331110920285454e+02,1.365846155680987550e-01
2.737673598128248287e+01,-1.216468933146663858e+02,6.980833991257264781e-01
2.782553493179531046e+01,-1.212002842564218383e+02,1.298259979702048650e+00
2.827433388230813804e+01,-1.204836871753977761e+02,1.877317248413631567e+00
2.872313283282096563e+01,-1.195534777035433649e+02,2.199313986658317788e+00
2.917193178333379322e+01,-1.185837325137927394e+02,2.041206374886315622e+00
2.962073073384662081e+01,-1.177745430364474402e+02,1.532121625211592564e+00
3.006952968435944840e+01,-1.172184241166806515e+02,9.494410905612908902e-01
3.051832863487227598e+01,-1.169152014326756017e+02,4.100245583706383368e-01
3.096712758538510357e+01,-1.168460152036742699e+02,-1.012057144972470929e-01
3.141592653589793116e+01,-1.170099106320164140e+02,-6.380126488343316193e-01
3.186472548641075875e+01,-1.174292748355979228e+02,-1.243189488380826990e+00
3.231352443692358634e+01,-1.181312774048260081e+02,-1.877894687677789776e+00
3.276232338743641037e+01,-1.190857939578643681e+02,-2.313894112754421251e+00
3.321112233794924151e+01,-1.201339678970902867e+02,-2.269865623773299479e+00
3.365992128846207265e+01,-1.210641408042331904e+02,-1.840029605442524252e+00
3.410872023897489669e+01,-1.217789432325078991e+02,-1.357867036022369467e+00
3.455751918948772072e+01,-1.223015939787760971e+02,-9.949746936823939958e-01
3.500631814000055186e+01,-1.226923298562019511e+02,-7.668679921213064077e-01
3.545511709051338300e+01,-1.230065965515624669e+02,-6.505896111680050664e-01
3.590391604102620704e+01,-1.232908310340579732e+02,-6.319403959472426058e-01
3.635271499153903108e+01,-1.235882259206109097e+02,-7.096195266865901186e-01
3.680151394205186222e+01,-1.239421915980769597e+02,-8.828577384712564813e-01
3.725031289256469336e+01,-1.243915864152321546e+02,-1.127142652548192014e+00
3.769911184307751739e+01,-1.249532836469327179e+02,-1.365320800304077320e+00
3.814791079359034143e+01,-1.255978601639504149e+02,-1.476497875235241342e+00
3.859670974410317257e+01,-1.262479617731735857e+02,-1.388049282826972375e+00
3.904550869461600371e+01,-1.268217584705410559e+02,-1.154701370184165077e+00
3.949430764512882774e+01,-1.272806931834589079e+02,-8.947213984342768933e-01
3.994310659564165178e+01,-1.276332158638880685e+02,-6.885059601849375932e-01
4.039190554615448292e+01,-1.279102343665278454e+02,-5.584056370730969832e-01
4.084070449666731406e+01,-1.281444362751489621e+02,-4.949018891087439420e-01
4.128950344718013810e+01,-1.283617239311273863e+02,-4.801049859780071039e-01
4.173830239769296213e+01,-1.285804214138252064e+02,-4.992801608219796239e-01
4.218710134820579327e+01,-1.288138077629157578e+02,-5.450050753923422198e-01
4.263590029871862441e+01,-1.290736334040696249e+02,-6.177964408228504567e-01
4.308469924923144845e+01,-1.293733731950273409e+02,-7.242664791877835295e-01
4.353349819974427248e+01,-1.297298503996252350e+02,-8.712179522359514428e-01
4.398229715025710362e+01,-1.301606010327347747e+02,-1.051881439056883139e+00
4.443109610076993476e+01,-1.306729726301723247e+02,-1.223783272073064143e+00
4.487989505128275880e+01,-1.312445791317334738e+02,-1.298558820801126723e+00
4.532869400179558284e+01,-1.318102396176177251e+02,-1.187216777988243654e+00
4.577749295230841398e+01,-1.322809836080055561e+02,-8.839681273325867839e-01
4.622629190282124512e+01,-1.325879304631148159e+02,-4.758141355289398078e-01
4.667509085333406915e+01,-1.327084085680345709e+02,-6.870266430149077341e-02
4.712388980384689319e+01,-1.326614310358789908e+02,2.601891870743478496e-01
4.757268875435972433e+01,-1.324941951275829695e+02,4.604667067225892141e-01
4.802148770487255547e+01,-1.322719164905826972e+02,5.026903986789444945e-01
4.847028665538537950e+01,-1.320666357873858203e+02,3.881915539877278665e-01
4.891908560589820354e+01,-1.319410244020949676e+02,1.574302930721002691e-01
4.936788455641103468e+01,-1.319322475316056114e+02,-1.192607645336399430e-01
4.981668350692386582e+01,-1.320428403650568612e+02,-3.612945274282297059e-01
5.026548245743668986e+01,-1.322406026527975200e+02,-4.977480261348885549e-01
5.071428140794951389e+01,-1.324672846785413185e+02,-4.862873605603246774e-01
5.116308035846234503e+01,-1.326542325589444999e+02,-3.230641262123238877e-01
5.161187930897517617e+01,-1.327384992050734525e+02,-3.490653196035807537e-02
5.206067825948800021e+01,-1.326734523178688221e+02,3.336411836099123507e-01
5.250947721000082424e+01,-1.324363080668038322e+02,7.193507499539730787e-01
5.295827616051365538e+01,-1.320384499331781853e+02,1.033356427942531353e+00
5.340707511102648652e+01,-1.315333099575839242e+02,1.185548736975065021e+00
5.385587406153931056e+01,-1.310033027656068896e+02,1.147115154813819649e+00
5.430467301205213460e+01,-1.305241802454854678e+02,9.722495114953492168e-01
5.475347196256496574e+01,-1.301392137532197353e+02,7.384338815254599675e-01
5.520227091307779688e+01,-1.298637357013878102e+02,4.872146112844729093e-01
5.565106986359062091e+01,-1.297047112177444887e+02,2.162575493624618594e-01
5.609986881410344495e+01,-1.296769364623001195e+02,-1.039402736202288263e-01
5.654866776461627609e+01,-1.298114066384050602e+02,-5.134771693878762422e-01
5.699746671512910723e+01,-1.301559039422620287e+02,-1.041927618552578760e+00
5.744626566564193126e+01,-1.307600051930955090e+02,-1.654108023470827638e+00
5.789506461615475530e+01,-1.316255340839488781e+02,-2.160747487471901707e+00
5.834386356666758644e+01,-1.326425571147088363e+02,-2.299162749189492150e+00
5.879266251718041758e+01,-1.336383853656880376e+02,-2.109751808050591926e+00
5.924146146769324162e+01,-1.345387987869811184e+02,-1.932152469570245223e+00
5.969026041820606565e+01,-1.354128414771548137e+02,-2.015566416131356675e+00
6.013905936871889679e+01,-1.363918391262151886e+02,-2.382326168857133997e+00
6.058785831923172793e+01,-1.375536848523926210e+02,-2.754560548343719883e+00
6.103665726974455197e+01,-1.387910303288518890e+02,-2.656874282413862254e+00
6.148545622025737600e+01,-1.398644338992436928e+02,-2.081963022456795542e+00
6.193425517077020714e+01,-1.406535137055194582e+02,-1.453908572114823494e+00
6.238305412128303828e+01,-1.411959650631774537e+02,-9.959648131327910603e-01
6.283185307179586232e+01,-1.415749508116322204e+02,-7.207753932034591804e-01
6.328065202230868636e+01,-1.418658136576737547e+02,-5.992386119023100921e-01
6.372945097282151750e+01,-1.421336835262171974e+02,-6.176967028195038401e-01
6.417824992333434864e+01,-1.424414735759397104e+02,-7.778765827781400910e-01
6.462704887384717267e+01,-1.428527254508768749e+02,-1.075684093972500976e+00
6.507584782435999671e+01,-1.434201496733645627e+02,-1.457758005570594539e+00
6.552464677487282074e+01,-1.441518566477306820e+02,-1.775353804238859690e+00
6.597344572538565899e+01,-1.449762904768689395e+02,-1.849719053871612395e+00
6.642224467589848302e+01,-1.457740960727273887e+02,-1.677416924849573832e+00
6.687104362641130706e+01,-1.464737742103532980e+02,-1.449363149817460172e+00
6.731984257692414531e+01,-1.470946090918932043e+02,-1.348640158451323234e+00
6.776864152743696934e+01,-1.477175747466777125e+02,-1.468556577991647627e+00
6.821744047794979338e+01,-1.484508287075607313e+02,-1.839786850060119106e+00
6.866623942846261741e+01,-1.493957310059477095e+02,-2.379803710545756346e+00
6.911503837897544145e+01,-1.505609584610417357e+02,-2.741330113034852189e+00
6.956383732948827969e+01,-1.517698257306706751e+02,-2.551090851535315451e+00
7.001263628000110373e+01,-1.527977757298736492e+02,-2.012791290550000500e+00
7.046143523051392776e+01,-1.535890358938518716e+02,-1.546155349971810367e+00
7.091023418102676601e+01,-1.542197389806775618e+02,-1.302643578550434444e+00
7.135903313153959004e+01,-1.547894272626404586e+02,-1.266188911552304841e+00
7.180783208205241408e+01,-1.553777718595987949e+02,-1.372019058891961851e+00
7.225663103256523812e+01,-1.560262066569256376e+02,-1.511095890490834259e+00
7.270542998307806215e+01,-1.567162544954978785e+02,-1.532269358412317484e+00
7.315422893359090040e+01,-1.573681071251779429e+02,-1.335558369448257565e+00
7.360302788410372443e+01,-1.578888085348959578e+02,-9.662753466588779316e-01
7.405182683461654847e+01,-1.582285805390458790e+02,-5.494959936824954649e-01
7.450062578512938671e+01,-1.583887597448729423e+02,-1.755372635252709923e-01
7.494942473564221075e+01,-1.583974683923844964e+02,1.236543501047671079e-01
7.539822368615503478e+01,-1.582893081334078715e+02,3.457941422414898547e-01
7.584702263666785882e+01,-1.580982087356190675e+02,4.933984257859148626e-01
7.629582158718068285e+01,-1.578577489246804646e+02,5.653874753733106884e-01
7.674462053769352110e+01,-1.576020818037898152e+02,5.618044917793902915e-01
7.719341948820634514e+01,-1.573632283379880903e+02,4.935738172651142897e-01
7.764221843871916917e+01,-1.571648786911195828e+02,3.867023075223463002e-01
7.809101738923200742e+01,-1.570166920020811858e+02,2.759217767287803769e-01
7.853981633974483145e+01,-1.569130155290811217e+02,1.927322049735021858e-01
7.898861529025765549e+01,-1.568367203474049347e+02,1.555714241174173673e-01
7.943741424077047952e+01,-1.567662435962278096e+02,1.655186672528504710e-01
