t,x,v
0.000000000000000000e+00,-9.770135165266556498e+01,0.000000000000000000e+00
4.487989505128275880e-01,-9.810716253080032345e+01,-8.881587221214906069e-01
8.975979010256551760e-01,-9.852326872568764315e+01,-9.915590071551617646e-01
1.346396851538482764e+00,-9.901690573974765641e+01,-1.225039060171414285e+00
1.795195802051310352e+00,-9.962986310494287068e+01,-1.502491717511667879e+00
2.243994752564137940e+00,-1.003489908141865641e+02,-1.670065111253001833e+00
2.692793703076965528e+00,-1.010934438529594388e+02,-1.607394141269534282e+00
3.141592653589793116e+00,-1.017640748350439850e+02,-1.363455324509625477e+00
3.590391604102620704e+00,-1.023138585480344460e+02,-1.094568573501683462e+00
4.039190554615448292e+00,-1.027604723240200286e+02,-9.160612791374722619e-01
4.487989505128275880e+00,-1.031563329835512519e+02,-8.717645030787855021e-01
4.936788455641103468e+00,-1.035649621759188079e+02,-9.746408185618387066e-01
5.385587406153931056e+00,-1.040551087252616611e+02,-1.237512627776924168e+00
5.834386356666758644e+00,-1.047005071067994209e+02,-1.663065765838876997e+00
6.283185307179586232e+00,-1.055594915532678613e+02,-2.157920542034459377e+00
6.731984257692413820e+00,-1.066029929992401719e+02,-2.420959033676895800e+00
7.180783208205241408e+00,-1.076532572056857475e+02,-2.173787319761347092e+00
7.629582158718068996e+00,-1.085012066479024213e+02,-1.577023247914965953e+00
8.078381109230896584e+00,-1.090646415016311295e+02,-9.436445835457076825e-01
8.527180059743724172e+00,-1.093603619308813819e+02,-3.870824743505777432e-01
8.975979010256551760e+00,-1.094201810530060186e+02,1.161615426879718943e-01
9.424777960769379348e+00,-1.092556067087388385e+02,6.223726104417459659e-01
9.873576911282206936e+00,-1.088540442265960451e+02,1.176736678928445912e+00
1.032237586179503452e+01,-1.081947292486645864e+02,1.756079041694930121e+00
1.077117481230786211e+01,-1.073016230709630747e+02,2.170886923765467991e+00
1.121997376282068970e+01,-1.063141022132884501e+02,2.143588138493744744e+00
1.166877271333351729e+01,-1.054433598683914681e+02,1.687254315689048489e+00
1.211757166384634488e+01,-1.048210174063468685e+02,1.082022784230935342e+00
1.256637061435917246e+01,-1.044677970056980882e+02,5.000378489181284136e-01
1.301516956487200005e+01,-1.043669067141697013e+02,-4.837064433702033261e-02
1.346396851538482764e+01,-1.045136026320089258e+02,-6.125414466969086869e-01
